pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerGame,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P)
0.048,0.138,0.12300000000000001,0.021,0.011000000000000001,0.207,3,0.115,8.1,0.207,0.857,6.7,0.455,0.326,0.743,0.544,0.25,1,0,0.136,0.059,0.071,0.189
0.034,0.091,0.036000000000000004,0.02,0.019,0.087,7.2,0.18600000000000003,12.1,0.156,0.758,12.7,0.492,0.35,0.639,0.534,0.54,0.987,0.102,0.262,0.035,0.054,0.113
0.013999999999999999,0.122,0.07200000000000001,0.018000000000000002,0.8,0.153,3,0.16399999999999998,5.5,0.146,0.84,10,0.441,0.245,0.769,0.31,0.491,1,0,0.129,0.058,0.088,0.415
0.027000000000000003,0.10400000000000001,0.299,0.027000000000000003,0.6,0.26899999999999996,5.3,0.14300000000000002,10.8,0.202,0.731,7.8,0.49,0.239,0.61,0.228,0.216,0.952,0.003,0.272,0.085,0.057,0.358
0.03,0.138,0.237,0.015,0.011000000000000001,0.098,20.8,0.268,19.3,0.305,0.817,16.4,0.459,0.385,0.284,0.291,0.176,0.775,0.035,0.242,0.072,0.113,0.282
0.017,0.08800000000000001,0.235,0.033,0.2,0.18100000000000002,10,0.163,13.3,0.292,0.767,9.1,0.467,0.367,0.201,0.47,0.151,0.895,0.02,0.254,0.101,0.044,0.131
0.13699999999999998,0.192,0.024,0.6,0.033,0.17,8.8,0.13699999999999998,13.4,0.47,0.579,7.1,0.565,NA,0.719,0,NA,NA,0.336,0.802,0.173,0.021,0.004
0.035,0.147,0.099,0.013000000000000001,0.02,0.10800000000000001,14.4,0.205,12.9,0.204,0.795,13.9,0.476,0.328,0.452,0.298,0.325,0.951,0.042,0.255,0.124,0.105,0.217
0,0,0.324,0,0,0,2.5,0.24600000000000002,5.7,0.286,0.5,16.8,0.286,NA,0,0,NA,NA,0,0.286,0,0.429,0.286
0.11900000000000001,0.10099999999999999,0.049,0.5,0.4,0.184,1.5,0.109,5.8,0.314,0.727,6.3,0.457,NA,0.5,0,NA,NA,0,0.486,0.114,0.171,0.229
0.075,0.121,0.037000000000000005,0.011000000000000001,0.024,0.127,1.8,0.10099999999999999,3.3,0.4,0.464,6,0.314,NA,0.591,0,NA,NA,0.057,0.386,0.143,0.214,0.257
0.039,0.10099999999999999,0.198,0.018000000000000002,0.8,0.17800000000000002,5.2,0.166,9.5,0.186,0.609,10,0.426,0.419,0.326,0.126,0.355,0.846,0.016,0.401,0.304,0.085,0.085
