idPlayer,namePlayer,heightInches
1913,Michael Ruffin,80
201575,Brandon Rush,78
2416,Kareem Rush,78
2422,John Salmons,78
200798,Cheikh Samb,85
2243,Brian Scalabrine,81
2449,Luis Scola,81
200757,Thabo Sefolosha,78
200754,Mouhamed Sene,83
201196,Ramon Sessions,75
201594,Walter Sharpe,81
2250,Bobby Simmons,78
200759,Cedric Simmons,81
201235,Courtney Sims,83
201606,Sean Singletary,72
101189,James Singleton,80
1730,Brian Skinner,81
200783,Craig Smith,79
2747,JR Smith,78
693,Joe Smith,82
2746,Josh Smith,81
2226,Will Solomon,73
2443,Darius Songaila,81
201578,Marreese Speights,82
711,Jerry Stackhouse,78
2052,DeShawn Stevenson,77
978,Peja Stojakovic,82
2405,Amar'e Stoudemire,82
201155,Rodney Stuckey,77
2741,Robert Swift,85
2031,Stromile Swift,82
1887,Wally Szczerbiak,79
201446,Mike Taylor,74
2742,Sebastian Telfair,72
1891,Jason Terry,74
2041,Etan Thomas,82
1903,Kenny Thomas,79
703,Kurt Thomas,81
1501,Tim Thomas,82
200748,Tyrus Thomas,82
201574,Jason Thompson,83
201154,Al Thornton,80
201229,Anthony Tolliver,80
201169,Alando Tucker,78
101142,Ronny Turiaf,82
2045,Hedo Turkoglu,82
2137,Ime Udoka,77
2757,Beno Udrih,75
101146,Roko Ukic,77
2760,Anderson Varejao,83
1521,Jacque Vaughn,73
101111,Charlie Villanueva,83
2063,Jake Voskuhl,83
2756,Sasha Vujacic,79
2548,Dwyane Wade,76
101144,Von Wafer,77
201611,Henry Walker,78
1112,Ben Wallace,81
2222,Gerald Wallace,79
739,Rasheed Wallace,83
2575,Luke Walton,80
101124,Hakim Warrick,81
201228,C.J. Watson,74
2248,Earl Watson,73
201602,Kyle Weaver,78
101110,Martell Webster,79
201603,Sonny Weems,78
2561,David West,81
2753,Delonte West,75
201238,Mario West,77
201566,Russell Westbrook,75
201591,DJ White,81
200778,James White,79
2404,Chris Wilcox,82
2863,Damien Wilkins,78
101114,Deron Williams,75
101214,Jawad Williams,81
101150,Lou Williams,74
200766,Marcus Williams,75
201173,Marcus Williams,79
101107,Marvin Williams,80
2590,Mo Williams,73
201157,Sean Williams,82
200761,Shawne Williams,82
200749,Shelden Williams,81
1897,Metta World Peace,79
101120,Antoine Wright,79
201148,Brandan Wright,82
2748,Dorell Wright,81
201153,Julian Wright,80
953,Lorenzen Wright,83
201156,Nick Young,79
201152,Thaddeus Young,80
201180,Sun Sun,81
202079,Antonio Anderson,78
2306,Carlos Arroyo,74
201965,Jeff Ayres,81
2853,Earl Barron,84
201958,Rodrigue Beaubois,74
1886,Jonathan Bender,84
201971,DeJuan Blair,79
1863,Earl Boykins,65
2056,Primoz Brezec,85
201972,Jon Brockman,79
201974,Derrick Brown,80
201978,Chase Budinger,79
201960,DeMarre Carroll,78
201956,Omri Casspi,81
201947,Earl Clark,82
201954,Darren Collison,72
101215,Will Conroy,74
201967,Dante Cunningham,80
201191,JamesOn Curry,75
201939,Stephen Curry,74
201948,Austin Daye,83
2568,Carlos Delfino,78
201942,DeMar DeRozan,78
201962,Toney Douglas,74
