Player,Pos,Age,Tm,G,MP,FG%,Dist.,Year,% of FGA by Distance 2P,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P),% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance (0-3),FG% by Distance (3-10),FG% by Distance (10-16),FG% by Distance (16-3P),FG% by Distance (3P),% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks,Dunks #,Corner 3s %3PA,Corner 3s 3P%,Heaves Att,Heaves Made
Tyler Johnson\johnsty01,PG,26,PHO,13,406,0.368,15.2,2018-2019,0.552,0.176,0.184,0.128,0.064,0.448,0.406,0.636,0.304,0.313,0.25,0.321,0.429,0.833,0.016,2,0.321,0.222,0,0
Wesley Johnson\johnswe01,SF,31,TOT,38,534,0.352,19.5,2018-2019,0.406,0.102,0.031,0.086,0.188,0.594,0.385,0.769,0.25,0.091,0.333,0.329,0.65,0.92,0.023,3,0.526,0.225,0,0
Wesley Johnson\johnswe01,SF,31,NOP,26,377,0.398,19,2018-2019,0.432,0.125,0.034,0.068,0.205,0.568,0.421,0.818,0,0.167,0.333,0.38,0.625,0.895,0.034,3,0.5,0.32,0,0
Wesley Johnson\johnswe01,SF,31,WAS,12,157,0.25,20.7,2018-2019,0.35,0.05,0.025,0.125,0.15,0.65,0.286,0.5,1,0,0.333,0.231,0.75,1,0,0,0.577,0.067,0,0
Nikola Jokić\jokicni01,C,23,DEN,80,2504,0.511,10.4,2018-2019,0.776,0.323,0.299,0.086,0.067,0.224,0.569,0.695,0.499,0.519,0.346,0.307,0.48,0.916,0.009,11,0.022,0.333,4,0
Damian Jones\jonesda03,C,23,GSW,24,410,0.716,3,2018-2019,1,0.784,0.149,0.014,0.054,0,0.716,0.793,0.455,0,0.5,,0.887,,0.5,35,,,0,0
Derrick Jones Jr.\jonesde02,SF,21,MIA,60,1153,0.494,9,2018-2019,0.719,0.549,0.139,0.025,0.006,0.281,0.567,0.646,0.289,0.5,0,0.308,0.652,1,0.231,62,0.626,0.368,3,0
Jalen Jones\jonesja04,SF,25,CLE,16,214,0.419,14.8,2018-2019,0.548,0.226,0.226,0.048,0.048,0.452,0.471,0.714,0.357,0.333,0,0.357,0.25,1,0.048,3,0.286,0.375,0,0
Jemerrio Jones\jonesje01,SF,23,LAL,6,143,0.364,10.6,2018-2019,0.697,0.455,0.152,0.061,0.03,0.303,0.435,0.6,0.2,0,0,0.2,0.6,1,0.03,1,0,,0,0
Terrence Jones\joneste01,PF,27,HOU,2,5,0.25,13.8,2018-2019,0.5,0.25,0.25,0,0,0.5,0.5,1,0,,,0,1,,0,0,0,,0,0
Tyus Jones\jonesty01,PG,22,MIN,68,1560,0.415,13.2,2018-2019,0.717,0.213,0.222,0.173,0.11,0.283,0.453,0.558,0.455,0.364,0.388,0.317,0.228,0.65,0,0,0.214,0.407,1,0
DeAndre Jordan\jordade01,C,30,TOT,69,2047,0.641,2.1,2018-2019,1,0.814,0.161,0.016,0.009,0,0.641,0.705,0.403,0.143,0,,0.713,,0.437,167,,,0,0
DeAndre Jordan\jordade01,C,30,DAL,50,1554,0.644,2,2018-2019,1,0.836,0.142,0.012,0.009,0,0.644,0.707,0.37,0,0,,0.74,,0.467,128,,,0,0
DeAndre Jordan\jordade01,C,30,NYK,19,493,0.634,2.3,2018-2019,1,0.756,0.211,0.024,0.008,0,0.634,0.699,0.462,0.333,0,,0.641,,0.358,39,,,0,0
Cory Joseph\josepco01,PG,27,IND,82,2063,0.412,15.7,2018-2019,0.688,0.146,0.162,0.17,0.21,0.312,0.454,0.675,0.36,0.452,0.374,0.322,0.269,0.927,0,0,0.216,0.351,4,1
Frank Kaminsky\kaminfr01,C,25,CHO,47,755,0.463,14.7,2018-2019,0.534,0.258,0.208,0.044,0.023,0.466,0.553,0.649,0.565,0.231,0,0.36,0.716,1,0.013,4,0.079,0.091,0,0
Enes Kanter\kanteen01,C,26,TOT,67,1640,0.549,4.7,2018-2019,0.95,0.66,0.202,0.059,0.029,0.05,0.562,0.661,0.348,0.3,0.35,0.294,0.499,0.9,0.038,22,0.029,1,0,0
Enes Kanter\kanteen01,C,26,NYK,44,1128,0.536,4.9,2018-2019,0.953,0.615,0.241,0.06,0.036,0.047,0.547,0.677,0.31,0.25,0.412,0.318,0.492,0.857,0.028,12,0.045,1,0,0
Enes Kanter\kanteen01,C,26,POR,23,512,0.577,4.1,2018-2019,0.944,0.758,0.116,0.056,0.014,0.056,0.596,0.632,0.52,0.417,0,0.25,0.512,1,0.06,10,0,,0,0
Luke Kennard\kennalu01,SG,22,DET,63,1437,0.438,18.9,2018-2019,0.483,0.1,0.106,0.108,0.169,0.517,0.486,0.673,0.455,0.464,0.409,0.394,0.475,0.887,0.002,1,0.178,0.438,2,0
Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,64,1179,0.476,9,2018-2019,0.858,0.431,0.238,0.087,0.102,0.142,0.498,0.601,0.405,0.345,0.412,0.34,0.669,1,0.039,12,0.596,0.429,3,0
George King\kingge03,SF,25,PHO,1,6,,,2018-2019,,,,,,,,,,,,,,,,0,,,0,0
Maxi Kleber\klebima01,PF,27,DAL,71,1502,0.453,16.3,2018-2019,0.435,0.241,0.104,0.06,0.031,0.565,0.583,0.699,0.475,0.391,0.417,0.353,0.724,1,0.114,42,0.317,0.304,0,0
Brandon Knight\knighbr03,PG,27,TOT,39,736,0.381,17.6,2018-2019,0.504,0.119,0.138,0.142,0.104,0.496,0.443,0.548,0.306,0.324,0.667,0.318,0.207,0.585,0,0,0.147,0.211,0,0
Brandon Knight\knighbr03,PG,27,HOU,12,118,0.234,20.8,2018-2019,0.319,0.043,0.106,0.106,0.064,0.681,0.4,1,0.4,0.2,0.333,0.156,0.5,0.6,0,0,0.125,0,0,0
Brandon Knight\knighbr03,PG,27,CLE,27,618,0.413,16.9,2018-2019,0.545,0.136,0.146,0.15,0.113,0.455,0.448,0.517,0.29,0.344,0.708,0.371,0.173,0.583,0,0,0.155,0.267,0,0
Kevin Knox\knoxke01,PF,19,NYK,75,2158,0.37,15.2,2018-2019,0.602,0.221,0.149,0.102,0.13,0.398,0.387,0.5,0.353,0.344,0.269,0.343,0.479,0.896,0.028,18,0.203,0.365,0,0
Furkan Korkmaz\korkmfu01,SG,21,PHI,48,679,0.4,18.5,2018-2019,0.412,0.167,0.102,0.09,0.053,0.588,0.505,0.732,0.4,0.318,0.308,0.326,0.647,0.979,0.041,8,0.181,0.385,3,0
Luke Kornet\kornelu01,PF,23,NYK,46,784,0.378,20,2018-2019,0.318,0.138,0.053,0.102,0.025,0.682,0.411,0.564,0.333,0.276,0.286,0.363,0.595,0.986,0.039,9,0.13,0.44,0,0
Kyle Korver\korveky01,SG-PF,37,TOT,70,1334,0.416,22.5,2018-2019,0.28,0.033,0.029,0.052,0.166,0.72,0.467,0.813,0.429,0.4,0.425,0.397,0.921,0.993,0,0,0.256,0.483,0,0
Kyle Korver\korveky01,PF,37,CLE,16,251,0.461,22.3,2018-2019,0.289,0.026,0.066,0.053,0.145,0.711,0.455,0.5,0.8,0.75,0.182,0.463,0.8,1,0,0,0.241,0.615,0,0
Kyle Korver\korveky01,SG,37,UTA,54,1083,0.408,22.5,2018-2019,0.278,0.034,0.022,0.052,0.17,0.722,0.469,0.857,0.222,0.333,0.464,0.384,0.943,0.991,0,0,0.259,0.461,0,0
Kosta Koufos\koufoko01,C,29,SAC,42,502,0.477,5.9,2018-2019,1,0.307,0.503,0.176,0.013,0,0.477,0.617,0.364,0.519,1,,0.74,,0.046,5,,,0,0
Rodions Kurucs\kurucro01,SF,20,BRK,63,1294,0.45,12.5,2018-2019,0.59,0.419,0.136,0.016,0.02,0.41,0.543,0.644,0.295,0.286,0.333,0.315,0.59,0.914,0.122,47,0.228,0.381,4,0
Kyle Kuzma\kuzmaky01,PF,23,LAL,70,2314,0.456,13.3,2018-2019,0.612,0.288,0.203,0.072,0.049,0.388,0.553,0.661,0.471,0.487,0.358,0.303,0.614,0.922,0.055,58,0.201,0.353,1,0
Skal Labissière\labissk01,PF,22,TOT,22,176,0.531,10.9,2018-2019,0.735,0.347,0.224,0.082,0.082,0.265,0.556,0.706,0.364,0.5,0.5,0.462,0.4,0.667,0.224,10,0.077,0,0,0
Skal Labissière\labissk01,PF,22,SAC,13,113,0.433,12.8,2018-2019,0.633,0.3,0.233,0.033,0.067,0.367,0.474,0.667,0.143,1,0.5,0.364,0.667,1,0.2,5,0.091,0,0,0
Skal Labissière\labissk01,PF,22,POR,9,63,0.684,8,2018-2019,0.895,0.421,0.211,0.158,0.105,0.105,0.647,0.75,0.75,0.333,0.5,1,0.182,0,0.263,5,0,,0,0
Jeremy Lamb\lambje01,SG,26,CHO,79,2250,0.44,13.5,2018-2019,0.663,0.232,0.229,0.122,0.081,0.337,0.487,0.59,0.379,0.521,0.443,0.348,0.44,0.835,0.023,19,0.152,0.54,1,1
Zach LaVine\lavinza01,SG,23,CHI,63,2171,0.467,12,2018-2019,0.717,0.396,0.127,0.067,0.127,0.283,0.504,0.653,0.264,0.303,0.382,0.374,0.332,0.525,0.064,69,0.121,0.513,2,0
Jake Layman\laymaja01,SF,24,POR,71,1327,0.509,13.3,2018-2019,0.573,0.387,0.087,0.042,0.057,0.427,0.646,0.756,0.405,0.5,0.375,0.326,0.752,0.915,0.156,58,0.204,0.243,0,0
T.J. Leaf\leaftj01,PF,21,IND,58,522,0.541,8.1,2018-2019,0.831,0.421,0.311,0.082,0.016,0.169,0.599,0.727,0.526,0.267,0.333,0.258,0.604,0.875,0.087,16,0.226,0.286,0,0
Courtney Lee\leeco01,SG,33,TOT,34,428,0.411,16.8,2018-2019,0.574,0.163,0.078,0.163,0.171,0.426,0.5,0.524,0.6,0.429,0.5,0.291,0.649,0.813,0.016,1,0.327,0.5,0,0
Courtney Lee\leeco01,SG,33,NYK,12,160,0.447,16.4,2018-2019,0.66,0.17,0.064,0.128,0.298,0.34,0.516,0.625,0.333,0.333,0.571,0.313,0.75,0.8,0,0,0.375,0.667,0,0
Courtney Lee\leeco01,SG,33,DAL,22,268,0.39,17,2018-2019,0.524,0.159,0.085,0.183,0.098,0.476,0.488,0.462,0.714,0.467,0.375,0.282,0.571,0.818,0.024,1,0.308,0.417,0,0
Damion Lee\leeda03,SG,26,GSW,32,375,0.441,18.3,2018-2019,0.465,0.134,0.094,0.094,0.142,0.535,0.492,0.471,0.583,0.417,0.5,0.397,0.793,0.889,0,0,0.368,0.52,0,0
Walt Lemon Jr.\lemonwa01,PG,26,CHI,6,167,0.437,7.1,2018-2019,0.943,0.575,0.126,0.092,0.149,0.057,0.439,0.52,0.182,0.625,0.231,0.4,0.222,1,0.011,1,0,,0,0
Alex Len\lenal01,C,25,ATL,77,1544,0.494,10,2018-2019,0.685,0.503,0.122,0.032,0.028,0.315,0.554,0.638,0.342,0.333,0.222,0.363,0.72,0.986,0.215,120,0.48,0.378,1,0
Kawhi Leonard\leonaka01,SF,27,TOR,60,2040,0.496,13.3,2018-2019,0.733,0.249,0.147,0.188,0.149,0.267,0.542,0.701,0.464,0.472,0.44,0.371,0.283,0.67,0.05,54,0.166,0.42,0,0
Meyers Leonard\leoname01,C,26,POR,61,878,0.545,14.5,2018-2019,0.541,0.331,0.095,0.079,0.037,0.459,0.626,0.775,0.348,0.526,0.222,0.45,0.817,0.94,0.227,48,0.126,0.5,1,0
Jon Leuer\leuerjo01,PF,29,DET,41,402,0.584,8.4,2018-2019,0.903,0.389,0.239,0.195,0.08,0.097,0.637,0.909,0.519,0.318,0.444,0.091,0.754,1,0.08,9,0.455,0,0,0
Caris LeVert\leverca01,SF,24,BRK,40,1063,0.429,11.7,2018-2019,0.681,0.321,0.242,0.089,0.029,0.319,0.483,0.581,0.41,0.395,0.286,0.312,0.314,0.458,0.035,15,0.091,0.357,0,0
Damian Lillard\lillada01,PG,28,POR,80,2838,0.444,15.7,2018-2019,0.581,0.297,0.073,0.078,0.132,0.419,0.499,0.564,0.357,0.429,0.473,0.369,0.194,0.46,0.023,24,0.05,0.313,3,0
Jeremy Lin\linje01,PG,30,TOT,74,1436,0.44,13.4,2018-2019,0.654,0.312,0.139,0.118,0.085,0.346,0.517,0.604,0.427,0.406,0.5,0.294,0.29,0.745,0,0,0.144,0.37,1,0
Jeremy Lin\linje01,PG,30,ATL,51,1003,0.466,13.4,2018-2019,0.658,0.303,0.155,0.119,0.08,0.342,0.535,0.624,0.483,0.37,0.548,0.333,0.25,0.75,0,0,0.129,0.471,1,0
Jeremy Lin\linje01,PG,30,TOR,23,433,0.374,13.5,2018-2019,0.645,0.335,0.097,0.116,0.097,0.355,0.47,0.558,0.2,0.5,0.4,0.2,0.404,0.727,0,0,0.182,0.2,0,0
Shaun Livingston\livinsh01,PG,33,GSW,64,967,0.519,8.8,2018-2019,0.99,0.31,0.219,0.419,0.043,0.01,0.524,0.677,0.478,0.432,0.556,0,0.541,,0.124,23,0,,2,0
Zach Lofton\loftoza01,SG,26,DET,1,4,0,25.8,2018-2019,0,0,0,0,0,1,,,,,,0,,,0,0,0,,0,0
Kevon Looney\looneke01,C,22,GSW,80,1481,0.625,4.7,2018-2019,0.971,0.709,0.133,0.035,0.095,0.029,0.641,0.724,0.304,0.583,0.515,0.1,0.704,1,0.314,105,0.4,0,1,0
Brook Lopez\lopezbr01,C,30,MIL,81,2322,0.452,19.2,2018-2019,0.349,0.173,0.101,0.055,0.02,0.651,0.613,0.765,0.456,0.535,0.313,0.365,0.649,0.952,0.057,40,0.143,0.397,0,0
Robin Lopez\lopezro01,C,30,CHI,74,1606,0.568,6.3,2018-2019,0.942,0.37,0.469,0.05,0.052,0.058,0.589,0.712,0.538,0.519,0.25,0.226,0.569,1,0.079,38,0.032,0,0,0
Kevin Love\loveke01,PF,30,CLE,22,598,0.385,16.7,2018-2019,0.481,0.212,0.12,0.078,0.071,0.519,0.412,0.517,0.412,0.273,0.25,0.361,0.518,0.906,0.014,4,0.197,0.448,0,0
Kyle Lowry\lowryky01,PG,32,TOR,65,2213,0.411,19,2018-2019,0.387,0.187,0.06,0.062,0.078,0.613,0.514,0.645,0.409,0.435,0.345,0.347,0.299,0.745,0,0,0.115,0.442,3,0
Jordan Loyd\loydjo01,PG,25,TOR,12,55,0.444,16.1,2018-2019,0.556,0.278,0.056,0.111,0.111,0.444,0.4,0.4,1,0,0.5,0.5,0.5,0.25,0,0,0,,0,0
Kalin Lucas\lucaska01,PG,29,DET,1,6,0,28,2018-2019,0,0,0,0,0,1,,,,,,0,,,0,0,0,,0,0
Timothé Luwawu-Cabarrot\luwawti01,SF,23,TOT,50,669,0.376,15.8,2018-2019,0.468,0.312,0.05,0.046,0.06,0.532,0.451,0.574,0,0.2,0.385,0.31,0.674,1,0.037,5,0.397,0.37,1,0
Timothé Luwawu-Cabarrot\luwawti01,SF,23,OKC,21,123,0.302,14.6,2018-2019,0.488,0.395,0.023,0.047,0.023,0.512,0.381,0.471,0,0,0,0.227,0.75,1,0.023,0,0.5,0.364,0,0
Timothé Luwawu-Cabarrot\luwawti01,SF,23,CHI,29,546,0.394,16.1,2018-2019,0.463,0.291,0.057,0.046,0.069,0.537,0.469,0.608,0,0.25,0.417,0.33,0.658,1,0.04,5,0.372,0.371,1,0
Tyler Lydon\lydonty01,PF,22,DEN,25,94,0.5,14.5,2018-2019,0.444,0.389,0.056,0,0,0.556,0.625,0.714,0,,,0.4,0.4,1,0.111,2,0.4,0.5,0,0
Trey Lyles\lylestr01,PF,23,DEN,64,1120,0.418,13.8,2018-2019,0.596,0.263,0.202,0.089,0.042,0.404,0.529,0.731,0.35,0.341,0.524,0.255,0.622,0.941,0.055,25,0.16,0.406,2,0
Scott Machado\machasc01,PG,28,LAL,4,19,0.667,8.4,2018-2019,0.833,0.667,0,0,0.167,0.167,0.6,0.75,,,0,1,0.333,0,0,0,0,,0,0
Shelvin Mack\macksh01,PG,28,TOT,57,1246,0.404,13.1,2018-2019,0.677,0.268,0.196,0.119,0.094,0.323,0.429,0.611,0.342,0.313,0.237,0.354,0.47,0.543,0,0,0.169,0.273,0,0
Shelvin Mack\macksh01,PG,28,MEM,53,1204,0.414,13.2,2018-2019,0.671,0.272,0.193,0.113,0.093,0.329,0.441,0.613,0.347,0.341,0.25,0.359,0.461,0.543,0,0,0.172,0.273,0,0
Shelvin Mack\macksh01,PG,28,CHO,4,42,0.143,11.7,2018-2019,0.857,0.143,0.286,0.286,0.143,0.143,0.167,0.5,0.25,0,0,0,1,,0,0,0,,0,0
Daryl Macon\maconda01,SG,23,DAL,8,90,0.37,18.1,2018-2019,0.593,0.111,0.074,0.148,0.259,0.407,0.313,0.667,0,0.25,0.286,0.455,0.2,0.6,0,0,0.091,0,0,0
J.P. Macura\macurjp01,SG,23,CHO,2,17,0.333,12.9,2018-2019,0.556,0.444,0.111,0,0,0.444,0.6,0.75,0,,,0,1,,0,0,0.25,0,0,0
Ian Mahinmi\mahinia01,C,32,WAS,34,498,0.452,6.8,2018-2019,0.846,0.471,0.346,0.029,0,0.154,0.5,0.612,0.389,0,,0.188,0.614,1,0.125,10,0.563,0.222,0,0
Thon Maker\makerth01,C-PF,21,TOT,64,972,0.407,16.2,2018-2019,0.429,0.257,0.112,0.026,0.034,0.571,0.522,0.623,0.4,0.429,0.222,0.32,0.85,1,0.104,24,0.431,0.379,0,0
Thon Maker\makerth01,C,21,MIL,35,409,0.44,16.1,2018-2019,0.418,0.291,0.09,0.015,0.022,0.582,0.589,0.641,0.417,1,0.333,0.333,0.879,1,0.112,12,0.423,0.485,0,0
Thon Maker\makerth01,PF,21,DET,29,563,0.373,16.3,2018-2019,0.44,0.224,0.134,0.037,0.045,0.56,0.458,0.6,0.389,0.2,0.167,0.307,0.815,1,0.097,12,0.44,0.273,0,0
Boban Marjanović\marjabo01,C,30,TOT,58,681,0.615,5.3,2018-2019,0.962,0.558,0.262,0.1,0.042,0.038,0.624,0.731,0.471,0.577,0.273,0.4,0.66,1,0.158,37,0.3,1,0,0
Boban Marjanović\marjabo01,C,30,LAC,36,376,0.607,4,2018-2019,0.986,0.657,0.214,0.079,0.036,0.014,0.616,0.696,0.467,0.545,0.2,0,0.624,,0.179,22,0,,0,0
Boban Marjanović\marjabo01,C,30,PHI,22,305,0.625,6.8,2018-2019,0.933,0.442,0.317,0.125,0.05,0.067,0.634,0.792,0.474,0.6,0.333,0.5,0.704,1,0.133,15,0.375,1,0,0
Lauri Markkanen\markkla01,PF,21,CHI,52,1682,0.43,15,2018-2019,0.582,0.224,0.18,0.101,0.078,0.418,0.479,0.624,0.434,0.325,0.371,0.361,0.527,0.975,0.04,31,0.114,0.368,2,0
Jarell Martin\martija01,PF,24,ORL,42,328,0.413,18.4,2018-2019,0.452,0.173,0.058,0.019,0.202,0.548,0.489,0.778,0.333,0,0.333,0.351,0.696,1,0.067,7,0.474,0.333,0,0
Frank Mason III\masonfr01,PG,24,SAC,38,435,0.42,14.5,2018-2019,0.621,0.29,0.118,0.095,0.118,0.379,0.543,0.612,0.55,0.438,0.45,0.219,0.298,0.286,0.006,0,0.094,0.167,0,0
Yante Maten\matenya01,PF,22,MIA,2,13,0.25,9.8,2018-2019,0.75,0.5,0,0.25,0,0.25,0.333,0,,1,,0,1,,0,0,0,,0,0
Wesley Matthews\matthwe02,SF-SG,32,TOT,69,2091,0.4,18.3,2018-2019,0.423,0.125,0.138,0.112,0.049,0.577,0.437,0.609,0.365,0.372,0.353,0.372,0.558,0.92,0,0,0.206,0.422,2,0
Wesley Matthews\matthwe02,SF,32,DAL,44,1312,0.414,17.8,2018-2019,0.439,0.124,0.166,0.113,0.036,0.561,0.456,0.638,0.385,0.434,0.235,0.38,0.5,0.92,0,0,0.183,0.458,2,0
Wesley Matthews\matthwe02,SG,32,NYK,2,54,0.211,19.2,2018-2019,0.474,0.053,0.053,0.263,0.105,0.526,0.222,0,1,0.2,0,0.2,0,1,0,0,0.3,0,0,0
Wesley Matthews\matthwe02,SG,32,IND,23,725,0.386,19.2,2018-2019,0.381,0.133,0.081,0.095,0.071,0.619,0.413,0.571,0.235,0.25,0.533,0.369,0.758,0.917,0,0,0.246,0.406,0,0
Luc Mbah a Moute\mbahalu01,PF,32,LAC,4,61,0.444,10.7,2018-2019,0.667,0.444,0.167,0,0.056,0.333,0.5,0.5,0.333,,1,0.333,0.667,1,0,0,0.5,0,0,0
Tahjere McCall\mccalta01,SG,24,BRK,1,8,0.667,8.7,2018-2019,0.667,0.667,0,0,0,0.333,1,1,,,,0,1,,0,0,1,0,0,0
Patrick McCaw\mccawpa01,SG,23,TOT,29,397,0.413,13.5,2018-2019,0.556,0.349,0.143,0.048,0.016,0.444,0.486,0.636,0.222,0,1,0.321,0.471,1,0.048,3,0.393,0.545,0,0
Patrick McCaw\mccawpa01,SG,23,CLE,3,53,0.222,14.2,2018-2019,0.556,0.333,0.111,0.111,0,0.444,0.2,0.333,0,0,,0.25,0,1,0,0,0.5,0.5,0,0
Patrick McCaw\mccawpa01,SG,23,TOR,26,344,0.444,13.4,2018-2019,0.556,0.352,0.148,0.037,0.019,0.444,0.533,0.684,0.25,0,1,0.333,0.5,1,0.056,3,0.375,0.556,0,0
CJ McCollum\mccolcj01,SG,27,POR,70,2375,0.459,15.3,2018-2019,0.642,0.183,0.15,0.151,0.158,0.358,0.506,0.561,0.441,0.516,0.495,0.375,0.356,0.731,0.011,14,0.09,0.5,1,0
T.J. McConnell\mccontj01,PG,26,PHI,76,1470,0.525,10.9,2018-2019,0.9,0.232,0.217,0.313,0.138,0.1,0.546,0.691,0.495,0.481,0.534,0.333,0.403,1,0,0,0.548,0.348,0,0
Doug McDermott\mcderdo01,SF,27,IND,77,1340,0.491,16.1,2018-2019,0.512,0.268,0.081,0.043,0.121,0.488,0.569,0.681,0.588,0.5,0.333,0.408,0.919,1,0.043,16,0.383,0.456,1,0
JaVale McGee\mcgeeja01,C,31,LAL,75,1671,0.624,4,2018-2019,0.981,0.637,0.262,0.058,0.025,0.019,0.634,0.762,0.399,0.351,0.5,0.083,0.779,1,0.337,201,0.083,0,1,0
Rodney McGruder\mcgruro01,SG,27,MIA,66,1550,0.403,15.2,2018-2019,0.512,0.197,0.217,0.082,0.015,0.488,0.453,0.582,0.4,0.316,0.286,0.351,0.43,0.937,0.013,5,0.342,0.364,1,0
Alfonzo McKinnie\mckinal01,SF,26,GSW,72,1003,0.487,12.9,2018-2019,0.571,0.404,0.091,0.029,0.047,0.429,0.586,0.685,0.32,0.5,0.308,0.356,0.717,1,0.138,33,0.508,0.333,0,0
Ben McLemore\mclembe01,SG,25,SAC,19,158,0.391,20.1,2018-2019,0.359,0.125,0.063,0.031,0.141,0.641,0.348,0.5,0,0,0.444,0.415,0.875,0.941,0.031,2,0.317,0.308,1,0
Jordan McRae\mcraejo01,SG,27,WAS,27,333,0.469,14.7,2018-2019,0.731,0.208,0.131,0.185,0.208,0.269,0.537,0.741,0.471,0.417,0.481,0.286,0.373,0.7,0.023,3,0.2,0.286,1,0
Jodie Meeks\meeksjo01,SG,31,TOR,8,104,0.538,15.3,2018-2019,0.538,0.179,0.179,0.103,0.077,0.462,0.619,0.857,0.714,0.25,0.333,0.444,0.923,1,0,0,0.389,0.429,0,0
Salah Mejri\mejrisa01,C,32,DAL,36,399,0.491,10.1,2018-2019,0.696,0.5,0.143,0.009,0.045,0.304,0.564,0.661,0.438,0,0,0.324,0.727,1,0.214,22,0.118,0.5,0,0
De'Anthony Melton\meltode01,PG,20,PHO,50,984,0.391,13.7,2018-2019,0.629,0.281,0.156,0.102,0.09,0.371,0.441,0.569,0.35,0.462,0.174,0.305,0.338,1,0.031,8,0.274,0.385,0,0
Chimezie Metu\metuch01,PF,21,SAS,29,145,0.328,9.6,2018-2019,0.966,0.19,0.414,0.172,0.19,0.034,0.339,0.545,0.458,0.2,0,0,0.632,,0.121,6,0,,0,0
Khris Middleton\middlkh01,SF,27,MIL,77,2393,0.441,15.9,2018-2019,0.587,0.171,0.159,0.145,0.112,0.413,0.485,0.592,0.429,0.461,0.434,0.378,0.327,0.603,0.017,19,0.127,0.317,0,0
C.J. Miles\milescj01,SF,31,TOT,53,856,0.36,19.6,2018-2019,0.347,0.129,0.077,0.068,0.074,0.653,0.417,0.475,0.292,0.381,0.478,0.33,0.667,0.97,0.013,3,0.227,0.391,1,0
C.J. Miles\milescj01,SF,31,TOR,40,562,0.34,19.7,2018-2019,0.335,0.131,0.087,0.058,0.058,0.665,0.391,0.481,0.278,0.333,0.417,0.314,0.593,0.953,0.019,3,0.241,0.394,1,0
C.J. Miles\milescj01,SF,31,MEM,13,294,0.4,19.4,2018-2019,0.371,0.124,0.057,0.086,0.105,0.629,0.462,0.462,0.333,0.444,0.545,0.364,0.778,1,0,0,0.197,0.385,0,0
Darius Miller\milleda01,SF,28,NOP,69,1757,0.39,22.3,2018-2019,0.248,0.031,0.039,0.089,0.089,0.752,0.467,0.667,0.474,0.419,0.442,0.365,0.625,0.932,0.002,1,0.168,0.361,1,0
Malcolm Miller\millema01,SF,25,TOR,10,67,0.423,21.4,2018-2019,0.192,0.115,0.038,0,0.038,0.808,0.2,0,0,,1,0.476,1,1,0,0,0.333,0.571,0,0
Patty Mills\millspa02,PG,30,SAS,82,1908,0.425,19.5,2018-2019,0.391,0.139,0.057,0.027,0.167,0.609,0.475,0.685,0.395,0.333,0.351,0.394,0.407,0.755,0,0,0.213,0.477,1,0
Paul Millsap\millspa01,PF,33,DEN,70,1895,0.484,10,2018-2019,0.761,0.34,0.295,0.111,0.015,0.239,0.522,0.668,0.408,0.419,0.2,0.365,0.564,1,0.072,43,0.208,0.424,1,1
Shake Milton\miltosh01,SG,22,PHI,20,268,0.391,16.3,2018-2019,0.494,0.23,0.115,0.057,0.092,0.506,0.465,0.6,0.2,0.6,0.375,0.318,0.75,0.929,0.011,1,0.295,0.308,0,0
Nikola Mirotić\mirotni01,PF,27,TOT,46,1245,0.439,18.4,2018-2019,0.413,0.194,0.081,0.05,0.089,0.587,0.545,0.657,0.568,0.333,0.396,0.365,0.746,0.914,0.009,5,0.151,0.438,2,0
Nikola Mirotić\mirotni01,PF,27,NOP,32,925,0.447,18.2,2018-2019,0.432,0.204,0.076,0.047,0.106,0.568,0.551,0.627,0.613,0.474,0.395,0.368,0.784,0.906,0.01,4,0.143,0.424,1,0
Nikola Mirotić\mirotni01,PF,27,MIL,14,320,0.415,19.2,2018-2019,0.356,0.163,0.096,0.059,0.037,0.644,0.521,0.773,0.462,0,0.4,0.356,0.6,0.935,0.007,1,0.172,0.467,1,0
Donovan Mitchell\mitchdo01,SG,22,UTA,77,2598,0.432,13.7,2018-2019,0.661,0.218,0.238,0.128,0.077,0.339,0.468,0.619,0.343,0.48,0.407,0.362,0.237,0.58,0.024,31,0.116,0.367,5,1
Naz Mitrou-Long\mitrona01,SG,25,UTA,14,84,0.3,15.3,2018-2019,0.45,0.4,0.05,0,0,0.55,0.444,0.375,1,,,0.182,0.5,0,0.05,1,0.091,0,0,0
Malik Monk\monkma01,SG,20,CHO,73,1258,0.387,17.9,2018-2019,0.437,0.191,0.102,0.058,0.085,0.563,0.461,0.643,0.25,0.382,0.36,0.33,0.432,0.899,0.038,21,0.206,0.309,6,0
Greg Monroe\monrogr01,C,28,TOT,43,480,0.487,4.5,2018-2019,0.974,0.534,0.354,0.063,0.021,0.026,0.495,0.604,0.388,0.333,0,0.2,0.527,1,0.016,2,0,,0,0
Greg Monroe\monrogr01,C,28,TOR,38,423,0.46,4.2,2018-2019,0.975,0.565,0.348,0.05,0.012,0.025,0.471,0.56,0.375,0.25,0,0,0.527,,0.019,2,0,,0,0
