Player,Pos,Age,Tm,G,MP,FG%,Dist.,Year,% of FGA by Distance 2P,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P),% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance (0-3),FG% by Distance (3-10),FG% by Distance (10-16),FG% by Distance (16-3P),FG% by Distance (3P),% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks,Dunks #,Corner 3s %3PA,Corner 3s 3P%,Heaves Att,Heaves Made
Kawhi Leonard\leonaka01,SF,29,LAC,52,1773,0.512,13.9,2020-2021,0.72,0.186,0.188,0.215,0.131,0.28,0.557,0.775,0.52,0.467,0.445,0.398,0.286,0.713,0.069,60,0.169,0.512,1,0
Meyers Leonard\leoname01,C,28,MIA,3,29,0.429,27.3,2020-2021,0,0,0,0,0,1,,,,,,0.429,,1,0,0,0,,0,0
Caris LeVert\leverca01,SG,26,TOT,47,1486,0.441,13.4,2020-2021,0.683,0.224,0.206,0.189,0.064,0.317,0.495,0.659,0.345,0.513,0.346,0.326,0.375,0.56,0.021,17,0.143,0.297,1,0
Caris LeVert\leverca01,SG,26,BRK,12,334,0.435,13.2,2020-2021,0.685,0.235,0.21,0.17,0.07,0.315,0.474,0.66,0.381,0.441,0.214,0.349,0.369,0.318,0.03,6,0.127,0.25,0,0
Caris LeVert\leverca01,SG,26,IND,35,1152,0.443,13.5,2020-2021,0.682,0.22,0.205,0.195,0.062,0.318,0.501,0.659,0.333,0.533,0.395,0.318,0.376,0.645,0.018,11,0.149,0.31,1,0
Kira Lewis Jr.\lewiski01,PG,19,NOP,54,904,0.386,12.7,2020-2021,0.644,0.267,0.252,0.089,0.036,0.356,0.415,0.611,0.318,0.2,0.167,0.333,0.378,0.8,0.012,4,0.183,0.273,1,0
Damian Lillard\lillada01,PG,30,POR,67,2398,0.451,17.9,2020-2021,0.472,0.238,0.096,0.044,0.094,0.528,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,0.185,4,0
Nassir Little\littlna01,PF,20,POR,48,640,0.467,15.6,2020-2021,0.521,0.269,0.114,0.054,0.084,0.479,0.575,0.689,0.526,0.444,0.357,0.35,0.56,0.821,0.09,13,0.163,0.385,0,0
Kevon Looney\looneke01,C,24,GSW,61,1161,0.548,6.3,2020-2021,0.914,0.548,0.223,0.086,0.056,0.086,0.578,0.722,0.364,0.353,0.364,0.235,0.635,1,0.137,26,0.353,0.167,0,0
Brook Lopez\lopezbr01,C,32,MIL,70,1902,0.503,14.2,2020-2021,0.561,0.263,0.211,0.064,0.023,0.439,0.632,0.774,0.511,0.488,0.533,0.338,0.692,0.958,0.111,66,0.27,0.408,0,0
Robin Lopez\lopezro01,C,32,WAS,71,1354,0.633,5.4,2020-2021,0.958,0.318,0.595,0.042,0,0.042,0.649,0.696,0.648,0.333,,0.278,0.617,1,0.08,32,0.722,0.154,0,0
Didi Louzada\louzama01,SF,21,NOP,3,56,0.231,17.6,2020-2021,0.385,0.154,0.154,0.077,0,0.615,0.2,0.5,0,0,,0.25,0,1,0,0,0.375,0.333,0,0
Kevin Love\loveke01,PF,32,CLE,25,622,0.409,19.4,2020-2021,0.381,0.115,0.123,0.079,0.063,0.619,0.479,0.621,0.484,0.4,0.313,0.365,0.609,0.895,0,0,0.103,0.438,0,0
Kyle Lowry\lowryky01,PG,34,TOR,46,1601,0.436,18.5,2020-2021,0.445,0.149,0.129,0.074,0.092,0.555,0.487,0.685,0.364,0.409,0.4,0.396,0.349,0.687,0,0,0.082,0.481,1,0
Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,58,1050,0.365,18.2,2020-2021,0.329,0.208,0.062,0.028,0.031,0.671,0.47,0.568,0.318,0.1,0.455,0.314,0.691,0.987,0.014,3,0.351,0.31,0,0
Trey Lyles\lylestr01,PF,25,SAS,23,358,0.478,14.5,2020-2021,0.556,0.311,0.1,0.111,0.033,0.444,0.58,0.75,0.556,0.3,0,0.35,0.69,1,0.022,2,0.175,0.714,0,0
Will Magnay\magnawi01,C,22,NOP,1,3,0,26.7,2020-2021,0,0,0,0,0,1,,,,,,0,,,0,0,0,,0,0
Thon Maker\makerth01,C,23,CLE,8,76,0.556,7.1,2020-2021,0.889,0.389,0.333,0.111,0.056,0.111,0.625,0.714,0.667,0,1,0,0.4,,0.056,1,0.5,0,0,0
Théo Maledon\maledth01,PG,19,OKC,65,1778,0.368,16.8,2020-2021,0.49,0.171,0.164,0.107,0.047,0.51,0.402,0.419,0.376,0.424,0.379,0.335,0.331,0.781,0.003,1,0.128,0.375,3,0
Karim Mané\maneka01,PG,20,ORL,10,88,0.231,7.3,2020-2021,0.846,0.385,0.385,0.077,0,0.154,0.182,0.4,0,0,,0.5,0,1,0.077,0,0,,0,0
Terance Mann\mannte01,SG,24,LAC,67,1263,0.509,10.4,2020-2021,0.74,0.371,0.209,0.109,0.051,0.26,0.541,0.708,0.397,0.342,0.333,0.418,0.507,0.842,0.111,32,0.571,0.442,1,0
Nico Mannion\mannini01,PG,19,GSW,30,364,0.342,18.2,2020-2021,0.474,0.114,0.184,0.096,0.079,0.526,0.315,0.769,0.286,0.091,0,0.367,0.353,0.727,0.009,0,0.083,0.6,0,0
Boban Marjanović\marjabo01,C,32,DAL,33,271,0.508,6.3,2020-2021,0.934,0.443,0.352,0.098,0.041,0.066,0.535,0.741,0.349,0.333,0.4,0.125,0.607,1,0.156,17,0,,0,0
Lauri Markkanen\markkla01,PF,23,CHI,51,1317,0.48,16.2,2020-2021,0.432,0.24,0-Jan,0-Jan,0.013,0.568,0.582,0-Jan,0-Jan,0.235,0.143,0.402,0.725,0.992,0.071,33,0.213,0.54,1,0
Naji Marshall\marshna01,SF,23,NOP,32,700,0.392,13.1,2020-2021,0.603,0.321,0.163,0.086,0.033,0.397,0.421,0.552,0.294,0.333,0,0.349,0.547,0.966,0.038,6,0.482,0.325,2,0
Caleb Martin\martica02,SF,25,CHO,53,818,0.375,16,2020-2021,0.512,0.285,0.094,0.012,0.121,0.488,0.496,0.575,0.375,0.333,0.419,0.248,0.6,0.871,0.039,7,0.248,0.258,1,0
Cody Martin\martico01,SF,25,CHO,52,849,0.441,11.2,2020-2021,0.691,0.436,0.117,0.074,0.064,0.309,0.515,0.561,0.636,0.214,0.333,0.276,0.597,0.875,0.085,15,0.586,0.265,1,0
Jeremiah Martin\martije02,PG,24,CLE,9,75,0.273,13.1,2020-2021,0.636,0.273,0.242,0.03,0.091,0.364,0.286,0.444,0,0,0.667,0.25,0.333,0.667,0,0,0.25,0.333,0,0
Kelan Martin\martike03,SF,25,IND,35,322,0.449,14.8,2020-2021,0.565,0.283,0.138,0.065,0.08,0.435,0.487,0.564,0.368,0.111,0.727,0.4,0.526,0.917,0.029,3,0.233,0.5,0,0
Kenyon Martin Jr.\martike04,SF,20,HOU,45,1068,0.509,9.7,2020-2021,0.698,0.469,0.214,0.013,0.003,0.302,0.572,0.711,0.294,0.25,0,0.365,0.701,1,0.226,63,0.292,0.286,1,0
Frank Mason III\masonfr01,PG,26,ORL,4,79,0.375,8.1,2020-2021,0.792,0.5,0.25,0,0.042,0.208,0.368,0.417,0.333,,0,0.4,0.286,1,0,0,0.2,1,0,0
Garrison Mathews\mathega01,SG,24,WAS,64,1038,0.409,23.4,2020-2021,0.165,0.042,0.055,0.021,0.046,0.835,0.538,0.9,0.308,0.4,0.545,0.384,0.619,0.934,0.004,1,0.323,0.484,1,0
Dakota Mathias\mathida01,SG,25,PHI,8,123,0.396,21,2020-2021,0.458,0.042,0.042,0.104,0.271,0.542,0.5,0.5,0.5,0.6,0.462,0.308,0.545,0.875,0,0,0.269,0.429,0,0
Wesley Matthews\matthwe02,SG,34,LAL,58,1130,0.353,21.2,2020-2021,0.218,0.099,0.056,0.028,0.036,0.782,0.418,0.68,0.214,0.286,0.111,0.335,0.609,0.97,0,0,0.289,0.263,0,0
Tyrese Maxey\maxeyty01,SG,20,PHI,61,935,0.462,12.3,2020-2021,0.76,0.268,0.233,0.128,0.131,0.24,0.512,0.591,0.46,0.582,0.375,0.301,0.383,0.806,0.019,8,0.126,0.154,0,0
Skylar Mays\mayssk01,SG,23,ATL,33,269,0.449,13.3,2020-2021,0.592,0.408,0.061,0.051,0.071,0.408,0.517,0.55,0.5,0.4,0.429,0.35,0.4,0.929,0.051,4,0.25,0.5,0,0
Patrick McCaw\mccawpa01,SF,25,TOR,5,33,1,1.3,2020-2021,1,1,0,0,0,0,1,1,,,,,0,,0,0,,,0,0
CJ McCollum\mccolcj01,SG,29,POR,47,1600,0.458,17.5,2020-2021,0.525,0.106,0.152,0.14,0.127,0.475,0.509,0.596,0.455,0.5,0.509,0.402,0.301,0.615,0.003,2,0.143,0.45,0,0
T.J. McConnell\mccontj01,PG,28,IND,69,1796,0.559,8.4,2020-2021,0.902,0.331,0.341,0.188,0.043,0.098,0.586,0.654,0.545,0.554,0.524,0.313,0.363,0.8,0,0,0.396,0.421,1,0
Jaden McDaniels\mcdanja02,PF,20,MIN,63,1511,0.447,16,2020-2021,0.46,0.229,0.139,0.049,0.044,0.54,0.544,0.69,0.412,0.5,0.25,0.364,0.707,0.972,0.114,32,0.338,0.403,1,0
Jalen McDaniels\mcdanja01,SF,23,CHO,47,904,0.468,11.6,2020-2021,0.63,0.338,0.239,0.042,0.011,0.37,0.547,0.688,0.382,0.333,0.667,0.333,0.633,1,0.099,24,0.514,0.333,1,0
Doug McDermott\mcderdo01,PF,29,IND,66,1619,0.532,12.8,2020-2021,0.57,0.397,0.141,0.018,0.014,0.43,0.641,0.716,0.5,0.417,0.222,0.388,0.774,1,0.041,26,0.231,0.424,0,0
Sean McDermott\mcderse01,SF,24,MEM,18,158,0.394,17.8,2020-2021,0.333,0.242,0.03,0.061,0,0.667,0.727,0.75,1,0.5,,0.227,0.25,1,0.121,4,0.364,0.25,0,0
JaVale McGee\mcgeeja01,C,33,TOT,46,678,0.511,6.6,2020-2021,0.915,0.433,0.379,0.085,0.018,0.085,0.539,0.689,0.43,0.292,0.4,0.208,0.59,1,0.167,44,0.167,0.25,0,0
JaVale McGee\mcgeeja01,C,33,CLE,33,503,0.521,6.7,2020-2021,0.907,0.423,0-Jan,0-Jan,0.019,0.093,0.549,0-Jan,0-Jan,0.313,0.5,0.25,0.579,1,0.163,33,0.2,0.25,0,0
JaVale McGee\mcgeeja01,C,33,DEN,13,175,0.478,6.2,2020-2021,0.94,0.463,0.343,0.119,0.015,0.06,0.508,0.742,0.304,0.25,0,0,0.625,,0.179,11,0,,0,0
Rodney McGruder\mcgruro01,SG,29,DET,16,194,0.529,12.1,2020-2021,0.657,0.257,0.286,0.086,0.029,0.343,0.565,0.722,0.55,0.167,0.5,0.458,0.462,1,0,0,0.542,0.385,0,0
Alfonzo McKinnie\mckinal01,SF,28,LAL,39,258,0.516,13.5,2020-2021,0.581,0.323,0.151,0.043,0.065,0.419,0.593,0.7,0.429,0.5,0.5,0.41,0.594,0.938,0.097,8,0.333,0.462,0,0
Jordan McLaughlin\mclaujo01,PG,24,MIN,51,938,0.413,12.2,2020-2021,0.62,0.351,0.223,0.037,0.008,0.38,0.447,0.518,0.333,0.556,0,0.359,0.373,0.909,0.025,4,0.25,0.304,0,0
Ben McLemore\mclembe01,SG,27,TOT,53,905,0.37,21.6,2020-2021,0.233,0.099,0.041,0.022,0.071,0.767,0.447,0.639,0.333,0.25,0.308,0.346,0.816,0.959,0.014,4,0.236,0.5,2,0
Ben McLemore\mclembe01,SG,27,HOU,32,537,0.357,20.8,2020-2021,0.259,0.129,0.04,0.031,0.058,0.741,0.431,0.621,0.333,0.143,0.231,0.331,0.76,0.945,0.013,2,0.235,0.487,1,0
Ben McLemore\mclembe01,SG,27,LAL,21,368,0.39,23,2020-2021,0.191,0.05,0.043,0.007,0.092,0.809,0.481,0.714,0.333,1,0.385,0.368,0.923,0.976,0.014,2,0.237,0.519,1,0
Nicolò Melli\mellini01,PF,30,TOT,45,566,0.326,18.3,2020-2021,0.397,0.149,0.099,0.078,0.071,0.603,0.411,0.476,0.214,0.545,0.4,0.271,0.478,1,0.043,5,0.224,0.263,0,0
Nicolò Melli\mellini01,PF,30,NOP,22,241,0.254,19,2020-2021,0.373,0.153,0.102,0.051,0.068,0.627,0.364,0.333,0.167,0.667,0.5,0.189,0.5,1,0,0,0.162,0.167,0,0
Nicolò Melli\mellini01,PF,30,DAL,23,325,0.378,17.9,2020-2021,0.415,0.146,0.098,0.098,0.073,0.585,0.441,0.583,0.25,0.5,0.333,0.333,0.467,1,0.073,5,0.271,0.308,0,0
De'Anthony Melton\meltode01,PG,22,MEM,52,1045,0.438,16.9,2020-2021,0.463,0.163,0.155,0.104,0.041,0.537,0.467,0.609,0.295,0.561,0.313,0.412,0.412,0.793,0.033,12,0.213,0.467,0,0
Sam Merrill\merrisa01,SG,24,MIL,30,233,0.444,19.8,2020-2021,0.347,0.139,0.083,0.056,0.069,0.653,0.44,0.5,0,0.75,0.6,0.447,0.545,0.81,0.028,2,0.085,0.75,0,0
Chimezie Metu\metuch01,C,23,SAC,36,488,0.508,11,2020-2021,0.793,0.318,0.212,0.151,0.112,0.207,0.549,0.789,0.368,0.333,0.5,0.351,0.731,0.923,0.19,29,0.081,0.667,0,0
Khris Middleton\middlkh01,SF,29,MIL,68,2269,0.476,15.7,2020-2021,0.66,0.15,0.146,0.196,0.168,0.34,0.508,0.652,0.49,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0.439,0,0
Darius Miller\milleda01,SF,30,OKC,18,197,0.458,25,2020-2021,0.125,0,0.021,0.042,0.063,0.875,0.833,,0,1,1,0.405,0.6,0.765,0,0,0.167,0.429,1,0
Patty Mills\millspa02,PG,32,SAS,68,1685,0.412,20.7,2020-2021,0.298,0.111,0.057,0.028,0.101,0.702,0.5,0.574,0.457,0.353,0.484,0.375,0.549,0.783,0,0,0.147,0.46,0,0
Paul Millsap\millspa01,PF,35,DEN,56,1162,0.476,12.5,2020-2021,0.643,0.244,0.309,0.08,0.01,0.357,0.55,0.694,0.5,0.375,0,0.343,0.613,0.98,0.04,13,0.196,0.464,0,0
Shake Milton\miltosh01,SG,24,PHI,63,1461,0.45,13.9,2020-2021,0.696,0.193,0.214,0.181,0.106,0.304,0.494,0.62,0.42,0.479,0.437,0.35,0.362,0.803,0,0,0.182,0.432,0,0
Donovan Mitchell\mitchdo01,PG,24,UTA,53,1771,0.438,16,2020-2021,0.577,0.157,0.219,0.093,0.108,0.423,0.476,0.608,0.418,0.451,0.424,0.386,0.15,0.5,0.022,14,0.104,0.375,4,0
Adam Mokoka\mokokad01,SG,22,CHI,14,56,0.368,13.7,2020-2021,0.474,0.421,0.053,0,0,0.526,0.667,0.75,0,,,0.1,0.333,1,0,0,0.3,0.333,0,0
Malik Monk\monkma01,SG,22,CHO,42,878,0.434,16.8,2020-2021,0.469,0.228,0.125,0.065,0.05,0.531,0.471,0.582,0.4,0.231,0.45,0.401,0.432,0.8,0.023,8,0.156,0.576,0,0
E'Twaun Moore\mooreet01,SG,31,PHO,27,389,0.455,13,2020-2021,0.711,0.174,0.314,0.132,0.091,0.289,0.512,0.381,0.474,0.75,0.545,0.314,0.432,0.909,0.008,1,0.2,0.429,0,0
Ja Morant\moranja01,PG,21,MEM,63,2053,0.449,10.7,2020-2021,0.748,0.335,0.261,0.132,0.02,0.252,0.499,0.632,0.372,0.437,0.316,0.303,0.294,0.603,0.06,46,0.104,0.24,1,0
Juwan Morgan\morgaju01,PF,23,UTA,29,147,0.467,12.3,2020-2021,0.567,0.433,0.1,0.033,0,0.433,0.588,0.692,0.333,0,,0.308,0.7,1,0.067,2,0.231,0.333,0,0
Marcus Morris\morrima03,PF,31,LAC,57,1502,0.473,18.4,2020-2021,0.493,0.082,0.098,0.2,0.113,0.507,0.472,0.604,0.316,0.504,0.455,0.473,0.456,0.936,0.007,3,0.318,0.564,3,0
Markieff Morris\morrima02,PF,31,LAL,61,1200,0.405,17.6,2020-2021,0.447,0.132,0.138,0.119,0.058,0.553,0.521,0.7,0.5,0.444,0.318,0.311,0.545,1,0.016,5,0.33,0.333,1,0
Monte Morris\morrimo01,PG,25,DEN,47,1196,0.481,14,2020-2021,0.654,0.235,0-Jan,0-Jan,0.114,0.346,0.534,0-Jan,0-Jan,0.543,0.364,0.381,0.4,0.804,0.003,1,0.276,0.27,2,0
Mychal Mulder\muldemy01,PG,26,GSW,60,766,0.449,21,2020-2021,0.192,0.147,0.034,0.004,0.008,0.808,0.667,0.795,0.333,0,0,0.397,0.912,1,0.057,14,0.322,0.377,0,0
Dejounte Murray\murrade01,PG,24,SAS,67,2139,0.453,12.6,2020-2021,0.796,0.193,0.205,0.266,0.131,0.204,0.488,0.649,0.39,0.452,0.477,0.317,0.275,0.857,0.013,12,0.206,0.293,0,0
Jamal Murray\murraja01,PG,23,DEN,48,1704,0.477,16.9,2020-2021,0.601,0.124,0.144,0.145,0.188,0.399,0.523,0.816,0.465,0.496,0.396,0.408,0.333,0.581,0.027,19,0.136,0.488,1,0
Mike Muscala\muscami01,C,29,OKC,35,645,0.446,19.9,2020-2021,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.5,0.818,0.412,0.37,0.765,0.971,0.015,4,0.255,0.426,1,0
Svi Mykhailiuk\mykhasv01,SF-SG,23,TOT,66,1324,0.411,17.6,2020-2021,0.379,0.209,0.105,0.04,0.026,0.621,0.536,0.66,0.302,0.5,0.538,0.334,0.563,0.886,0.03,14,0.223,0.414,1,0
