heightInches,pctORB,pctDRB,pctAST,pctTOV,ptsPerMinute,pctUSG,pctFTRate,FG% by Distance 2P,FG% by Distance (3P),% of FGA by Distance 3P,% of FGA by Distance (0-10),% of FGA by Distance (10-3P)
83,0.14,0.263,0.02899999999999999,0.108,10.8,0.135,0.241,0.565,1,0.005,0.819,0.176
79,0.073,0.149,0.05,0.119,13.9,0.187,0.333,0.491,0.188,0.033,0.613,0.354
78,0.034,0.122,0.073,0.13699999999999998,14.8,0.209,0.242,0.453,0.303,0.258,0.329,0.414
81,0.022,0.134,0.131,0.1,25.7,0.29600000000000004,0.36,0.47,0.404,0.352,0.301,0.346
84,0.135,0.217,0.096,0.172,9.9,0.145,0.353,0.488,0,0.006,0.904,0.09
79,0.043,0.121,0.069,0.145,19.1,0.27699999999999997,0.178,0.485,0.304,0.256,0.311,0.43400000000000005
80,0.047,0.163,0.091,0.126,16.2,0.212,0.287,0.463,0.389,0.231,0.445,0.323
75,0.019,0.064,0.14400000000000002,0.084,13.5,0.18899999999999997,0.129,0.473,0.317,0.245,0.324,0.432
83,0.03,0.109,0.064,0.128,10.4,0.17800000000000002,0.144,0.375,0.26,0.424,0.31,0.267
79,0.023,0.086,0.239,0.103,19.4,0.27,0.252,0.464,0.368,0.182,0.217,0.6
79,0.081,0.131,0.064,0.096,14.4,0.195,0.299,0.464,0,0.008,0.51,0.481
81,0.04099999999999999,0.158,0.068,0.107,20.8,0.257,0.243,0.487,0.364,0.388,0.391,0.221
75,0.01399999999999999,0.097,0.344,0.14,21.2,0.284,0.582,0.477,0.291,0.212,0.455,0.33299999999999996
75,0.042,0.112,0.209,0.174,8.1,0.165,0.245,0.341,0,0.064,0.319,0.617
80,0.078,0.212,0.053,0.103,11.2,0.147,0.264,0.518,0,0,0.381,0.619
77,0.054,0.106,0.071,0.129,6.4,0.099,0.131,0.459,0.25,0.042,0.314,0.644
85,0.076,0.209,0.113,0.157,14,0.202,0.17,0.486,0.348,0.144,0.5800000000000001,0.276
78,0.105,0.23,0.07,0.171,3.8,0.079,0.168,0.385,0,0.035,0.876,0.089
80,0.017,0.158,0.049,0.076,12.7,0.166,0.09,0.489,0.385,0.423,0.20400000000000001,0.372
75,0.01399999999999999,0.107,0.181,0.139,10.8,0.168,0.167,0.389,0.37,0.375,0.354,0.271
81,0.052,0.151,0.05599999999999999,0.07200000000000001,12.8,0.17800000000000002,0.121,0.471,0.342,0.58,0.251,0.16899999999999998
86,0.124,0.141,0.079,0.102,17.6,0.233,0.35,0.471,0,0,0.835,0.164
81,0.091,0.184,0.021,0.168,12.5,0.18,0.345,0.515,0,0,0.7889999999999999,0.21100000000000002
83,0.087,0.187,0.071,0.14400000000000002,16.1,0.181,0.519,0.607,0.2,0.007,0.745,0.248
76,0.02899999999999999,0.119,0.166,0.145,12.4,0.195,0.392,0.421,0.329,0.196,0.471,0.334
80,0.032,0.157,0.11,0.13,14.5,0.175,0.301,0.547,0.316,0.102,0.512,0.386
76,0.01399999999999999,0.091,0.227,0.16,13.5,0.181,0.205,0.456,0.408,0.403,0.16,0.43699999999999994
84,0.124,0.134,0.025,0.16,11.6,0.157,0.766,0.532,0,0,0.819,0.181
81,0.076,0.25,0.119,0.131,12.4,0.16399999999999998,0.345,0.526,0,0.002,0.6180000000000001,0.38
73,0.009000000000000001,0.115,0.103,0.086,16.8,0.201,0.095,0.445,0.444,0.607,0.054000000000000006,0.33999999999999997
82,0.138,0.295,0.073,0.151,20.7,0.261,0.867,0.573,0,0.002,0.9440000000000001,0.053
79,0.04099999999999999,0.14,0.086,0.092,20.3,0.267,0.281,0.48,0.345,0.215,0.335,0.44900000000000007
81,0.079,0.119,0.097,0.138,13.2,0.188,0.231,0.51,0,0,0.497,0.503
77,0.012,0.11,0.126,0.103,15.6,0.206,0.26,0.409,0.389,0.346,0.23700000000000002,0.417
78,0.033,0.14,0.224,0.139,17,0.223,0.454,0.521,0.307,0.228,0.407,0.365
87,0.11,0.21600000000000005,0.064,0.101,17.1,0.238,0.24,0.477,0.385,0.054,0.39899999999999997,0.5469999999999999
72,0.017,0.08199999999999999,0.231,0.129,17.1,0.257,0.416,0.435,0.283,0.119,0.366,0.516
76,0.026,0.08,0.07400000000000001,0.092,8.8,0.132,0.207,0.319,0.342,0.548,0.28300000000000003,0.16399999999999998
75,0.018,0.095,0.18600000000000003,0.16,14.2,0.185,0.308,0.487,0.353,0.259,0.394,0.347
73,0.033,0.125,0.155,0.111,12.9,0.18,0.208,0.462,0.305,0.406,0.276,0.317
81,0.092,0.147,0.027,0.121,8.2,0.127,0.407,0.44,0,0.023,0.489,0.488
80,0.033,0.108,0.256,0.166,18.8,0.252,0.357,0.448,0.338,0.306,0.386,0.308
81,0.043,0.19,0.38,0.11,27.2,0.33799999999999997,0.472,0.535,0.344,0.238,0.42500000000000004,0.337
74,0.017,0.079,0.191,0.146,11.6,0.17800000000000002,0.16,0.388,0.375,0.358,0.33299999999999996,0.309
81,0.07200000000000001,0.205,0.091,0.071,20.9,0.259,0.314,0.501,0.351,0.221,0.501,0.278
79,0.046,0.086,0.19,0.231,8.1,0.16399999999999998,0.283,0.316,0.393,0.193,0.483,0.324
82,0.106,0.249,0.08800000000000001,0.078,22.7,0.289,0.258,0.499,0,0.004,0.662,0.33399999999999996
79,0.022,0.133,0.117,0.102,19.7,0.246,0.424,0.453,0.397,0.239,0.353,0.40800000000000003
83,0.104,0.08900000000000001,0.087,0.172,8.1,0.125,0.33,0.456,0.083,0.044,0.6629999999999999,0.293
84,0.055,0.22,0.07,0.112,13.3,0.205,0.246,0.397,0.343,0.28,0.298,0.42200000000000004
81,0.131,0.172,0.034,0.156,8.6,0.111,0.215,0.595,0,0,0.8410000000000001,0.15899999999999997
75,0.023,0.08800000000000001,0.212,0.16399999999999998,10.2,0.155,0.213,0.411,0.391,0.349,0.247,0.404
79,0.024,0.105,0.264,0.11,19.5,0.266,0.255,0.468,0.36,0.292,0.371,0.33799999999999997
78,0.049,0.087,0.08199999999999999,0.145,10.8,0.147,0.449,0.448,0.647,0.051,0.658,0.291
74,0.017,0.08199999999999999,0.191,0.158,9.1,0.128,0.256,0.441,0.367,0.464,0.33399999999999996,0.20199999999999999
80,0.023,0.096,0.047,0.069,9.7,0.13,0.208,0.415,0.344,0.644,0.04,0.315
82,0.091,0.156,0.034,0.158,10,0.118,0.667,0.606,0.5,0.018,0.748,0.23399999999999999
83,0.105,0.255,0.023,0.174,10.6,0.139,0.741,0.633,0,0,0.979,0.021
84,0.091,0.222,0.08800000000000001,0.199,14.6,0.209,0.246,0.528,0,0,0.725,0.275
80,0.017,0.087,0.091,0.101,12.9,0.174,0.07,0.435,0.428,0.379,0.126,0.495
76,0.034,0.16399999999999998,0.34700000000000003,0.218,9.1,0.135,0.17,0.427,0.406,0.523,0.21500000000000002,0.262
78,0.045,0.116,0.055,0.204,13.3,0.183,0.551,0.471,0.389,0.261,0.391,0.34800000000000003
81,0.055,0.153,0.147,0.146,15.3,0.203,0.546,0.475,0.274,0.128,0.54,0.33199999999999996
80,0.06,0.145,0.057,0.1,16,0.2,0.316,0.533,0.326,0.413,0.474,0.113
70,0.017,0.095,0.281,0.233,6.9,0.135,0.339,0.361,0,0.032,0.206,0.762
79,0.022,0.142,0.111,0.128,13.5,0.16899999999999998,0.227,0.485,0.386,0.477,0.113,0.41100000000000003
84,0.106,0.18600000000000003,0.057,0.111,14.3,0.185,0.276,0.508,0,0,0.746,0.254
84,0.084,0.172,0.043,0.092,14,0.18899999999999997,0.194,0.469,0,0,0.366,0.634
81,0.081,0.118,0.065,0.095,12.8,0.163,0.382,0.387,0.395,0.29,0.252,0.458
81,0.103,0.16699999999999998,0.046,0.119,15.7,0.181,0.462,0.576,0.333,0.007,0.627,0.366
75,0.013,0.109,0.234,0.149,10.4,0.163,0.432,0.391,0.31,0.209,0.439,0.352
77,0.011,0.091,0.076,0.106,12,0.155,0.174,0.478,0.404,0.376,0.33699999999999997,0.28700000000000003
81,0.096,0.27899999999999997,0.101,0.12,16.5,0.192,0.347,0.551,0,0.003,0.757,0.24
82,0.037,0.139,0.125,0.116,17.6,0.22,0.247,0.482,0.397,0.509,0.271,0.221
84,0.106,0.212,0.062,0.135,15.4,0.203,0.257,0.532,0,0.002,0.758,0.239
84,0.103,0.121,0.018,0.14400000000000002,11.1,0.14,0.496,0.522,0,0.007,0.861,0.131
80,0.151,0.273,0.068,0.124,15.8,0.21,0.488,0.469,0.105,0.028,0.6920000000000001,0.27999999999999997
72,0.019,0.116,0.264,0.18,12.5,0.181,0.521,0.488,0.255,0.226,0.523,0.252
72,0.013,0.092,0.18600000000000003,0.119,12.6,0.168,0.117,0.44,0.435,0.383,0.186,0.43200000000000005
78,0.034,0.16,0.092,0.128,21.5,0.252,0.655,0.497,0.253,0.15,0.482,0.367
83,0.13699999999999998,0.238,0.046,0.16899999999999998,8.1,0.125,0.458,0.496,0,0,0.954,0.046
79,0.086,0.197,0.093,0.11,13,0.181,0.187,0.506,0.189,0.067,0.72,0.21200000000000002
82,0.09,0.18,0.026,0.16,8.2,0.126,0.267,0.503,0.2,0.061,0.545,0.394
79,0.033,0.12,0.08,0.093,11.6,0.172,0.325,0.409,0.303,0.429,0.32499999999999996,0.247
81,0.046,0.168,0.1,0.124,13.1,0.177,0.304,0.498,0.368,0.059,0.632,0.308
79,0.017,0.093,0.123,0.123,23.2,0.27399999999999997,0.65,0.423,0.415,0.342,0.28300000000000003,0.376
77,0.044,0.128,0.067,0.14800000000000002,9.9,0.157,0.298,0.44,0,0.011,0.681,0.309
77,0.008,0.111,0.111,0.103,14,0.18899999999999997,0.144,0.428,0.421,0.479,0.124,0.39599999999999996
79,0.14,0.132,0.02799999999999999,0.104,11.6,0.147,0.494,0.577,0,0.003,0.6629999999999999,0.33499999999999996
77,0.022,0.101,0.155,0.138,17.5,0.245,0.219,0.461,0.384,0.295,0.305,0.40099999999999997
80,0.101,0.174,0.063,0.14800000000000002,10.1,0.14300000000000002,0.391,0.466,0,0.008,0.5619999999999999,0.43
76,0.022,0.097,0.107,0.104,18.1,0.251,0.289,0.431,0.333,0.387,0.367,0.246
81,0.116,0.272,0.073,0.083,11.5,0.157,0.164,0.51,0,0,0.265,0.735
84,0.12,0.184,0.034,0.117,15.4,0.207,0.419,0.494,0,0,0.85,0.15000000000000002
80,0.021,0.127,0.252,0.111,16.6,0.245,0.322,0.391,0.376,0.241,0.28700000000000003,0.473
